#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row,L min,L max,Firms in absolute numbers,Recipe,K min,K max,Cost of capital,Wage
1,Agriculture,C,From 0 to 9 persons employed,0.05357152966027112,0.8106294167158087,,0,2,2173408.261909958,144.60563316630075,144.60563316630075,289.2112663326015,0.15,5093.641678578184
1,Agriculture,I,From 0 to 9 persons employed,0.0027963981892704074,0.8106294167158087,,0,2,113450.46457871837,144.60563316630075,144.60563316630075,289.2112663326015,0.15,5093.641678578184
1,Agriculture,Int,From 0 to 9 persons employed,0.14344109377862022,0.8106294167158087,,0,2,5819435.440669409,144.60563316630075,144.60563316630075,289.2112663326015,0.15,5093.641678578184
2,Silviculture,C,From 0 to 9 persons employed,0.005375633936877693,0.14722522706550775,,0,2,218090.6030778887,95.72667808256509,95.72667808256509,191.45335616513017,0.15,3371.9114985820706
2,Silviculture,I,From 0 to 9 persons employed,0.00032567641539473397,0.14722522706550775,,0,2,13212.760890288006,95.72667808256509,95.72667808256509,191.45335616513017,0.15,3371.9114985820706
2,Silviculture,Int,From 0 to 9 persons employed,0.030587686780502586,0.14722522706550775,,0,2,1240948.9066869006,95.72667808256509,95.72667808256509,191.45335616513017,0.15,3371.9114985820706
3,Fishing,C,From 0 to 9 persons employed,0.005116823425367292,0.04214535621868368,,0,2,207590.60601689378,74.0575820383134,74.0575820383134,148.1151640766268,0.15,2608.6313390797086
3,Fishing,I,From 0 to 9 persons employed,2.6824662225334295e-05,0.04214535621868368,,0,2,1088.2822064855418,74.0575820383134,74.0575820383134,148.1151640766268,0.15,2608.6313390797086
3,Fishing,Int,From 0 to 9 persons employed,0.005244603582748372,0.04214535621868368,,0,2,212774.6739634574,74.0575820383134,74.0575820383134,148.1151640766268,0.15,2608.6313390797086
4,Mining and quarrying,C,From 0 to 9 persons employed,1.6361439434527975e-05,1.0,0.0,0,9,663.7870501225207,696.3056246196394,696.3056246196394,6266.750621576754,0.15,32497.13069196657
4,Mining and quarrying,C,From 10 to 19 persons employed,1.5830250198859286e-06,1.0,0.0,10,19,64.22365907505132,696.3056246196394,6963.056246196395,13229.80686777315,0.15,32497.13069196657
4,Mining and quarrying,C,From 20 to 49 persons employed,1.115322847104247e-06,1.0,0.0,20,49,45.24888324014004,696.3056246196394,13926.11249239279,34118.97560636233,0.15,32497.13069196657
4,Mining and quarrying,C,From 50 to 249 persons employed,5.639110310476342e-07,1.0,0.0,50,249,22.87798951483007,696.3056246196394,34815.28123098197,173380.10053029022,0.15,32497.13069196657
4,Mining and quarrying,C,250 persons employed or more,1.624276430798198e-07,1.0,0.0,250,1850,6.58972375198098,696.3056246196394,174076.40615490984,1288165.4055463327,0.15,32497.13069196657
4,Mining and quarrying,I,From 0 to 9 persons employed,1.6702040231304454e-06,1.0,0.0,0,9,67.76052963145105,696.3056246196394,696.3056246196394,6266.750621576754,0.15,32497.13069196657
4,Mining and quarrying,I,From 10 to 19 persons employed,1.6159793076335215e-07,1.0,0.0,10,19,6.556062148232588,696.3056246196394,6963.056246196395,13229.80686777315,0.15,32497.13069196657
4,Mining and quarrying,I,From 20 to 49 persons employed,1.1385408440235797e-07,1.0,0.0,20,49,4.619084227415471,696.3056246196394,13926.11249239279,34118.97560636233,0.15,32497.13069196657
4,Mining and quarrying,I,From 50 to 249 persons employed,5.7565012938641126e-08,1.0,0.0,50,249,2.3354247211384007,696.3056246196394,34815.28123098197,173380.10053029022,0.15,32497.13069196657
